:START_ID(Region),:END_ID(Region),weight:float,total:float,neuron_count:int,source_acronym,target_acronym,:TYPE
533.0,312782546,379.0974917978062,6823.754852360511,18,VISpm,VISa,PROJECT_TO
533.0,417,1238.3029447366885,17336.24122631364,14,VISpm,VISrl,PROJECT_TO
533.0,541,731.8858872693356,5855.087098154685,8,VISpm,TEa,PROJECT_TO
533.0,382,784.0545539675165,10976.763755545231,14,VISpm,CA1,PROJECT_TO
533.0,423,150.31997524109534,601.2799009643813,4,VISpm,CA2,PROJECT_TO
533.0,463,463.6796098641322,3709.4368789130576,8,VISpm,CA3,PROJECT_TO
533.0,982,195.0940496161006,1560.7523969288047,8,VISpm,FC,PROJECT_TO
533.0,926,657.2662336281495,5258.129869025196,8,VISpm,ENTm,PROJECT_TO
533.0,1037,967.8186011376363,9678.186011376363,10,VISpm,POST,PROJECT_TO
533.0,484682508,501.0637615528679,2004.2550462114716,4,VISpm,APr,PROJECT_TO
533.0,672,6112.863581380013,61128.63581380013,10,VISpm,CP,PROJECT_TO
533.0,1009,4097.295549837275,98335.09319609459,24,VISpm,fiber tracts,PROJECT_TO
402.0,329,1724.1630361254004,41379.91286700961,24,VISal,SSp-bfd,PROJECT_TO
402.0,378,1829.83460016821,32937.02280302778,18,VISal,SSs,PROJECT_TO
402.0,677,2670.199019631303,10680.796078525213,4,VISal,VISC,PROJECT_TO
402.0,1011,1013.9505613877676,16223.208982204282,16,VISal,AUDd,PROJECT_TO
402.0,1002,2111.906452369884,16895.25161895907,8,VISal,AUDp,PROJECT_TO
402.0,1027,2141.9537152997596,25703.444583597116,12,VISal,AUDpo,PROJECT_TO
402.0,1018,925.2935156187491,3701.1740624749964,4,VISal,AUDv,PROJECT_TO
402.0,402,12032.090024892294,385026.8807965534,32,VISal,VISal,PROJECT_TO
402.0,394,1081.9077300584133,17310.523680934613,16,VISal,VISam,PROJECT_TO
402.0,409,2929.483357538982,93743.46744124743,32,VISal,VISl,PROJECT_TO
402.0,385,9759.053249624976,312289.70398799924,32,VISal,VISp,PROJECT_TO
402.0,425,189.1635426187408,756.6541704749632,4,VISal,VISpl,PROJECT_TO
402.0,533,5160.874358651419,92895.73845572554,18,VISal,VISpm,PROJECT_TO
402.0,312782574,1675.0527604724275,20100.63312566913,12,VISal,VISli,PROJECT_TO
402.0,312782628,1009.5183707738875,12114.22044928665,12,VISal,VISpor,PROJECT_TO
402.0,111,1328.7312125719536,5314.9248502878145,4,VISal,AIp,PROJECT_TO
402.0,894,886.1500344341006,10633.800413209206,12,VISal,RSPagl,PROJECT_TO
402.0,879,2540.841347964401,10163.365391857604,4,VISal,RSPd,PROJECT_TO
402.0,886,1111.938882433895,8895.51105947116,8,VISal,RSPv,PROJECT_TO
402.0,417,5664.708860947393,181270.68355031658,32,VISal,VISrl,PROJECT_TO
402.0,541,3114.4558366038364,37373.470039246036,12,VISal,TEa,PROJECT_TO
402.0,922,306.1897155377407,1224.7588621509628,4,VISal,PERI,PROJECT_TO
402.0,895,1439.3415167462672,5757.366066985069,4,VISal,ECT,PROJECT_TO
402.0,961,1107.3031977314427,4429.212790925771,4,VISal,PIR,PROJECT_TO
402.0,382,1852.7079276812935,37054.15855362587,20,VISal,CA1,PROJECT_TO
402.0,423,176.5321334978508,1412.2570679828063,8,VISal,CA2,PROJECT_TO
402.0,463,448.7257847221281,3589.8062777770247,8,VISal,CA3,PROJECT_TO
402.0,982,223.87457990096715,1790.9966392077372,8,VISal,FC,PROJECT_TO
402.0,918,5495.10535080847,21980.42140323388,4,VISal,ENTl,PROJECT_TO
402.0,1037,704.9763319292922,5639.810655434338,8,VISal,POST,PROJECT_TO
402.0,502,384.3113717446314,3843.1137174463142,10,VISal,SUB,PROJECT_TO
402.0,484682470,342.36702176766954,3423.6702176766953,10,VISal,ProS,PROJECT_TO
402.0,484682508,388.46189809209307,3107.6951847367445,8,VISal,APr,PROJECT_TO
402.0,672,7253.992798663365,58031.94238930692,8,VISal,CP,PROJECT_TO
