region,axonal_bifurcation_remote_angle_mean_zscore,axonal_length_mean_zscore,axonal_branches_mean_zscore,axonal_max_branch_order_mean_zscore,dendritic_bifurcation_remote_angle_mean_zscore,dendritic_length_mean_zscore,dendritic_branches_mean_zscore,dendritic_max_branch_order_mean_zscore
FN,0.868349518030887,0.2961964610049562,-0.0022549789293687264,0.18122768762250024,1.564546908317551,0.9505516524530707,-0.1650647076148653,-0.42148001891863834
FOTU,0.9984071322052033,-0.7883050184775162,-0.5115841333562677,-0.485250623737682,0.182194390547142,-0.16325007116281426,2.963201799907999,3.292691736759118
FRP,0.6796495640522753,1.915927724380869,0.352178488702326,0.45760460642067097,-0.42925181474406143,0.9030249646956028,0.3366479253614807,1.1429741448365378
FS,0.6336658357076427,3.09943453916101,0.2566540079043049,0.4589269840225762,-1.969093441500404,-0.3292694713249301,0.16772960169607773,0.13564574443302513
GPe,0.8932139108482551,0.6664628490083796,0.7709349735547989,0.5792633457959425,1.1388628697185987,-0.06607585915954545,0.02351873432800233,-0.20481999983743598
GPi,0.8904609719142034,5.021554995377869,3.9206406125628095,0.8477059989826825,1.4068956938773334,-0.5779427535866496,-0.4479398705291669,-0.37505287197266635
GR,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
GRN,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
GU,0.8047028730464435,0.8730449305362377,0.03934023534882807,0.5477907588706006,-0.3612597939756984,0.04751558169416395,0.05563046592818101,0.1258716082338732
HATA,0.7379877233010907,0.5857500581837539,0.09094879150657405,0.4396580532519587,0.661282466345311,-0.4641759515781204,-0.457694186491729,0.3853917762803226
HPF,0.720650684118674,0.7822506453803371,0.4175454285749355,0.5848173317239439,-0.05264984818980032,0.9068228017111496,0.30084732542045495,1.1832326498805974
HY,0.912218681757703,0.5596685393314142,0.9006410601515873,1.549415137168679,0.44544724667031715,-0.8044093322968584,-0.8812170149715839,-0.6657638845885114
I5,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
IA,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
IAD,0.7416016316579299,0.3403783956579845,0.03170029803242454,0.4589269840225762,-0.7905096417175085,0.05245220906639827,0.21764874809271917,-0.3286257250266944
IAM,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
